frame= 2169 fps= 30 q=-1.0 size=   47017kB time=00:01:12.37 bitrate=5321.8kbits/s speed=   1x    
frame= 2185 fps= 30 q=-1.0 size=   47282kB time=00:01:12.88 bitrate=5314.1kbits/s speed=   1x    
frame= 2201 fps= 30 q=-1.0 size=   47534kB time=00:01:13.38 bitrate=5305.9kbits/s speed=   1x    
frame= 2216 fps= 30 q=-1.0 size=   47971kB time=00:01:13.88 bitrate=5318.5kbits/s speed=   1x    
frame= 2230 fps= 30 q=-1.0 size=   48456kB time=00:01:14.40 bitrate=5335.3kbits/s speed=   1x    
frame= 2246 fps= 30 q=-1.0 size=   48715kB time=00:01:14.88 bitrate=5328.8kbits/s speed=   1x    
frame= 2262 fps= 30 q=-1.0 size=   48975kB time=00:01:15.42 bitrate=5319.4kbits/s speed=   1x    
frame= 2275 fps= 30 q=-1.0 size=   49235kB time=00:01:15.91 bitrate=5312.9kbits/s speed=   1x    
frame= 2291 fps= 30 q=-1.0 size=   49712kB time=00:01:16.40 bitrate=5329.9kbits/s speed=   1x    
frame= 2305 fps= 30 q=-1.0 size=   49933kB time=00:01:16.89 bitrate=5319.5kbits/s speed=   1x    
frame= 2320 fps= 30 q=-1.0 size=   50183kB time=00:01:17.43 bitrate=5309.2kbits/s speed=   1x    
frame= 2337 fps= 30 q=-1.0 size=   50464kB time=00:01:17.92 bitrate=5305.4kbits/s speed=   1x    
frame= 2351 fps= 30 q=-1.0 size=   50953kB time=00:01:18.43 bitrate=5321.8kbits/s speed=   1x    
frame= 2366 fps= 30 q=-1.0 size=   51222kB time=00:01:18.94 bitrate=5315.3kbits/s speed=   1x    
frame= 2382 fps= 30 q=-1.0 size=   51516kB time=00:01:19.45 bitrate=5311.3kbits/s speed=   1x    
frame= 2398 fps= 30 q=-1.0 size=   51760kB time=00:01:19.95 bitrate=5303.1kbits/s speed=   1x    
frame= 2413 fps= 30 q=-1.0 size=   52341kB time=00:01:20.45 bitrate=5329.4kbits/s speed=   1x    
frame= 2427 fps= 30 q=-1.0 size=   52685kB time=00:01:20.97 bitrate=5330.2kbits/s speed=   1x    
frame= 2443 fps= 30 q=-1.0 size=   52966kB time=00:01:21.45 bitrate=5326.8kbits/s speed=   1x    
frame= 2459 fps= 30 q=-1.0 size=   53250kB time=00:01:21.98 bitrate=5320.5kbits/s speed=   1x    
frame= 2472 fps= 30 q=-1.0 size=   53719kB time=00:01:22.48 bitrate=5335.0kbits/s speed=   1x    
frame= 2488 fps= 30 q=-1.0 size=   53986kB time=00:01:22.97 bitrate=5329.9kbits/s speed=   1x    
frame= 2504 fps= 30 q=-1.0 size=   54235kB time=00:01:23.48 bitrate=5321.6kbits/s speed=   1x    
frame= 2518 fps= 30 q=-1.0 size=   54521kB time=00:01:24.00 bitrate=5317.0kbits/s speed=   1x    
frame= 2534 fps= 30 q=-1.0 size=   55042kB time=00:01:24.51 bitrate=5335.3kbits/s speed=   1x    
frame= 2550 fps= 30 q=-1.0 size=   55300kB time=00:01:25.02 bitrate=5328.3kbits/s speed=   1x    
frame= 2564 fps= 30 q=-1.0 size=   55577kB time=00:01:25.51 bitrate=5324.0kbits/s speed=   1x    
frame= 2580 fps= 30 q=-1.0 size=   55877kB time=00:01:26.04 bitrate=5319.5kbits/s speed=   1x    
frame= 2596 fps= 30 q=-1.0 size=   56328kB time=00:01:26.55 bitrate=5331.1kbits/s speed=   1x    
frame= 2611 fps= 30 q=-1.0 size=   56728kB time=00:01:27.05 bitrate=5338.1kbits/s speed=   1x    
frame= 2625 fps= 30 q=-1.0 size=   57026kB time=00:01:27.56 bitrate=5335.0kbits/s speed=   1x    
frame= 2642 fps= 30 q=-1.0 size=   57290kB time=00:01:28.08 bitrate=5327.8kbits/s speed=   1x    
frame= 2656 fps= 30 q=-1.0 size=   57791kB time=00:01:28.56 bitrate=5345.4kbits/s speed=   1x    
frame= 2671 fps= 30 q=-1.0 size=   58041kB time=00:01:29.07 bitrate=5337.6kbits/s speed=   1x    
frame= 2687 fps= 30 q=-1.0 size=   58289kB time=00:01:29.58 bitrate=5330.0kbits/s speed=   1x    
frame= 2703 fps= 30 q=-1.0 size=   58798kB time=00:01:30.12 bitrate=5344.7kbits/s speed=   1x    
frame= 2716 fps= 30 q=-1.0 size=   59033kB time=00:01:30.59 bitrate=5338.2kbits/s speed=   1x    
frame= 2732 fps= 30 q=-1.0 size=   59322kB time=00:01:31.10 bitrate=5334.1kbits/s speed=   1x    
frame= 2747 fps= 30 q=-1.0 size=   59587kB time=00:01:31.61 bitrate=5328.0kbits/s speed=   1x    
frame= 2763 fps= 30 q=-1.0 size=   60085kB time=00:01:32.12 bitrate=5343.1kbits/s speed=   1x    
frame= 2776 fps= 30 q=-1.0 size=   60315kB time=00:01:32.62 bitrate=5334.7kbits/s speed=   1x    
frame= 2792 fps= 30 q=-1.0 size=   60761kB time=00:01:33.13 bitrate=5344.6kbits/s speed=   1x    
frame= 2808 fps= 30 q=-1.0 size=   61063kB time=00:01:33.62 bitrate=5343.0kbits/s speed=   1x    
frame= 2824 fps= 30 q=-1.0 size=   61563kB time=00:01:34.15 bitrate=5356.3kbits/s speed=   1x    
frame= 2837 fps= 30 q=-1.0 size=   61790kB time=00:01:34.64 bitrate=5348.1kbits/s speed=   1x    
frame= 2853 fps= 30 q=-1.0 size=   62038kB time=00:01:35.13 bitrate=5342.0kbits/s speed=   1x    
frame= 2869 fps= 30 q=-1.0 size=   62276kB time=00:01:35.65 bitrate=5333.4kbits/s speed=   1x    
frame= 2882 fps= 30 q=-1.0 size=   62763kB time=00:01:36.16 bitrate=5346.8kbits/s speed=   1x    
frame= 2898 fps= 30 q=-1.0 size=   63026kB time=00:01:36.65 bitrate=5341.9kbits/s speed=   1x    
frame= 2914 fps= 30 q=-1.0 size=   63284kB time=00:01:37.15 bitrate=5336.0kbits/s speed=   1x    
frame= 2927 fps= 30 q=-1.0 size=   63533kB time=00:01:37.65 bitrate=5329.6kbits/s speed=   1x    
frame= 2943 fps= 30 q=-1.0 size=   64046kB time=00:01:38.16 bitrate=5344.6kbits/s speed=   1x    
frame= 2960 fps= 30 q=-1.0 size=   64295kB time=00:01:38.68 bitrate=5337.0kbits/s speed=   1x    
frame= 2975 fps= 30 q=-1.0 size=   64546kB time=00:01:39.18 bitrate=5330.8kbits/s speed=   1x    
frame= 2989 fps= 30 q=-1.0 size=   64819kB time=00:01:39.68 bitrate=5326.9kbits/s speed=   1x    
frame= 3005 fps= 30 q=-1.0 size=   65448kB time=00:01:40.18 bitrate=5351.4kbits/s speed=   1x    
frame= 3019 fps= 30 q=-1.0 size=   65696kB time=00:01:40.68 bitrate=5345.3kbits/s speed=   1x    
frame= 3034 fps= 30 q=-1.0 size=   65944kB time=00:01:41.21 bitrate=5337.2kbits/s speed=   1x    
frame= 3049 fps= 30 q=-1.0 size=   66206kB time=00:01:41.70 bitrate=5332.5kbits/s speed=   1x    
frame= 3065 fps= 30 q=-1.0 size=   66698kB time=00:01:42.22 bitrate=5345.2kbits/s speed=   1x    
frame= 3081 fps= 30 q=-1.0 size=   66963kB time=00:01:42.72 bitrate=5340.3kbits/s speed=   1x    
frame= 3095 fps= 30 q=-1.0 size=   67227kB time=00:01:43.22 bitrate=5335.3kbits/s speed=   1x    
frame= 3112 fps= 30 q=-1.0 size=   67495kB time=00:01:43.75 bitrate=5329.0kbits/s speed=   1x    
frame= 3125 fps= 30 q=-1.0 size=   67990kB time=00:01:44.24 bitrate=5342.9kbits/s speed=   1x    
frame= 3141 fps= 30 q=-1.0 size=   68266kB time=00:01:44.75 bitrate=5338.3kbits/s speed=   1x    
frame= 3157 fps= 30 q=-1.0 size=   68531kB time=00:01:45.25 bitrate=5333.7kbits/s speed=   1x    
frame= 3171 fps= 30 q=-1.0 size=   68803kB time=00:01:45.76 bitrate=5329.3kbits/s speed=   1x    
frame= 3186 fps= 30 q=-1.0 size=   69285kB time=00:01:46.29 bitrate=5339.7kbits/s speed=   1x    
frame= 3202 fps= 30 q=-1.0 size=   69728kB time=00:01:46.78 bitrate=5349.2kbits/s speed=   1x    
frame= 3218 fps= 30 q=-1.0 size=   70240kB time=00:01:47.28 bitrate=5363.1kbits/s speed=   1x    
frame= 3233 fps= 30 q=-1.0 size=   70526kB time=00:01:47.78 bitrate=5360.0kbits/s speed=   1x    
